epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,4789.9,2.21319,1.19062,0.81962,0.73505,0.46203,0.54744,0.23629,2.16608,1.25207,0.82345,4.6045e-05,4.6045e-05,4.6045e-05
111,4836.93,2.1401,1.17385,0.81756,0.734,0.46154,0.54682,0.23639,2.16524,1.25546,0.82398,4.555e-05,4.555e-05,4.555e-05
112,4881.08,2.11929,1.20252,0.84156,0.7336,0.46044,0.54536,0.23618,2.15642,1.2608,0.82365,4.5055e-05,4.5055e-05,4.5055e-05
113,4925.29,2.11188,1.20741,0.8381,0.73317,0.46045,0.54459,0.23608,2.15765,1.26112,0.8241,4.456e-05,4.456e-05,4.456e-05
114,4967.44,2.04129,1.18991,0.83175,0.73313,0.45931,0.54411,0.23657,2.14805,1.26157,0.82303,4.4065e-05,4.4065e-05,4.4065e-05
115,5011.3,2.09565,1.17281,0.82498,0.73522,0.46191,0.54577,0.23658,2.15265,1.26117,0.82318,4.357e-05,4.357e-05,4.357e-05
116,5058.1,2.16653,1.15965,0.8155,0.73568,0.46228,0.5458,0.23692,2.15397,1.26118,0.8231,4.3075e-05,4.3075e-05,4.3075e-05
117,5102.38,2.12372,1.18405,0.81688,0.73533,0.46212,0.54531,0.23673,2.15281,1.26236,0.82282,4.258e-05,4.258e-05,4.258e-05
118,5149.01,2.15933,1.21033,0.83896,0.73417,0.46143,0.54487,0.23631,2.15633,1.2621,0.82303,4.2085e-05,4.2085e-05,4.2085e-05
119,5195.67,2.13546,1.1651,0.81825,0.73486,0.46092,0.54497,0.23605,2.15656,1.26484,0.82327,4.159e-05,4.159e-05,4.159e-05
120,5242.61,2.15876,1.15875,0.81215,0.73543,0.46202,0.54558,0.23609,2.16393,1.26296,0.82379,4.1095e-05,4.1095e-05,4.1095e-05
121,5289.65,2.13573,1.16252,0.81001,0.73619,0.4624,0.54668,0.23615,2.16288,1.26284,0.82368,4.06e-05,4.06e-05,4.06e-05
122,5332.47,2.1425,1.18731,0.83043,0.73717,0.46265,0.54691,0.23595,2.16002,1.26188,0.82339,4.0105e-05,4.0105e-05,4.0105e-05
123,5378.98,2.13944,1.17006,0.81645,0.73767,0.46392,0.5486,0.23679,2.16232,1.25736,0.82327,3.961e-05,3.961e-05,3.961e-05
124,5422.5,2.09671,1.19621,0.83316,0.73699,0.46278,0.54769,0.23692,2.15816,1.25885,0.82309,3.9115e-05,3.9115e-05,3.9115e-05
125,5469.67,2.17591,1.18951,0.82151,0.73612,0.46264,0.54741,0.23765,2.15167,1.25951,0.82277,3.862e-05,3.862e-05,3.862e-05
126,5515.1,2.20807,1.17442,0.80723,0.73524,0.46253,0.54685,0.23683,2.15094,1.25568,0.82232,3.8125e-05,3.8125e-05,3.8125e-05
