epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5344.95,1.9731,1.31871,1.05981,0.7558,0.4464,0.54431,0.19908,2.25324,1.33338,1.03586,0.0007063,0.0007063,0.0007063
91,5400.73,1.96348,1.23768,1.02829,0.74381,0.4388,0.53979,0.20376,2.18239,1.35381,1.01989,0.000703,0.000703,0.000703
92,5460.65,2.09553,1.32082,1.06495,0.74381,0.4388,0.53979,0.20376,2.18239,1.35381,1.01989,0.0006997,0.0006997,0.0006997
93,5515.17,2.00197,1.36566,1.06509,0.74381,0.4388,0.53979,0.20376,2.18239,1.35381,1.01989,0.0006964,0.0006964,0.0006964
94,5569.85,2.00665,1.35074,1.07697,0.74381,0.4388,0.53979,0.20376,2.18239,1.35381,1.01989,0.0006931,0.0006931,0.0006931
95,5627.9,2.02428,1.33224,1.05233,0.74504,0.43949,0.52736,0.21231,2.05166,1.35965,0.98886,0.0006898,0.0006898,0.0006898
96,5682.83,2.01657,1.38146,1.08741,0.74504,0.43949,0.52736,0.21231,2.05166,1.35965,0.98886,0.0006865,0.0006865,0.0006865
97,5741,1.97149,1.30784,1.05857,0.74504,0.43949,0.52736,0.21231,2.05166,1.35965,0.98886,0.0006832,0.0006832,0.0006832
98,5798.77,1.95259,1.30791,1.00726,0.74589,0.43911,0.5202,0.21284,2.03412,1.35188,0.98397,0.0006799,0.0006799,0.0006799
99,5857.41,1.96206,1.27118,1.02718,0.74589,0.43911,0.5202,0.21284,2.03412,1.35188,0.98397,0.0006766,0.0006766,0.0006766
100,5912.41,1.94605,1.33405,1.06547,0.74589,0.43911,0.5202,0.21284,2.03412,1.35188,0.98397,0.0006733,0.0006733,0.0006733
101,5968.04,1.97494,1.30299,1.04356,0.74589,0.43911,0.5202,0.21284,2.03412,1.35188,0.98397,0.00067,0.00067,0.00067
102,6027.63,1.95176,1.33382,1.03203,0.75202,0.4424,0.52885,0.21575,2.03792,1.36343,0.98638,0.0006667,0.0006667,0.0006667
103,6090.45,2.04529,1.35029,1.0676,0.75202,0.4424,0.52885,0.21575,2.03792,1.36343,0.98638,0.0006634,0.0006634,0.0006634
104,6151.01,1.89005,1.23333,1.01489,0.75202,0.4424,0.52885,0.21575,2.03792,1.36343,0.98638,0.0006601,0.0006601,0.0006601
105,6211.68,1.93536,1.27432,1.03916,0.76288,0.4472,0.54986,0.2235,2.07292,1.35197,0.99715,0.0006568,0.0006568,0.0006568
106,6273.18,1.82809,1.28478,1.02536,0.76288,0.4472,0.54986,0.2235,2.07292,1.35197,0.99715,0.0006535,0.0006535,0.0006535
107,6335.87,1.96811,1.33447,1.00616,0.76288,0.4472,0.54986,0.2235,2.07292,1.35197,0.99715,0.0006502,0.0006502,0.0006502
108,6394.97,1.95193,1.40745,1.06621,0.76288,0.4472,0.54986,0.2235,2.07292,1.35197,0.99715,0.0006469,0.0006469,0.0006469
109,6457.68,2.02738,1.37785,1.02025,0.75886,0.4448,0.55192,0.22595,1.92939,1.37884,0.96488,0.0006436,0.0006436,0.0006436
110,6517.81,1.98912,1.3697,1.01038,0.75886,0.4448,0.55192,0.22595,1.92939,1.37884,0.96488,0.0006403,0.0006403,0.0006403
111,6578.18,1.94105,1.36321,1.02592,0.75886,0.4448,0.55192,0.22595,1.92939,1.37884,0.96488,0.000637,0.000637,0.000637
112,6638.36,1.85452,1.30268,1.01487,0.76181,0.448,0.54471,0.22174,1.93632,1.37234,0.96505,0.0006337,0.0006337,0.0006337
113,6699.78,2.00303,1.39375,1.05671,0.76181,0.448,0.54471,0.22174,1.93632,1.37234,0.96505,0.0006304,0.0006304,0.0006304
114,6761.95,1.92287,1.34404,1.03068,0.76181,0.448,0.54471,0.22174,1.93632,1.37234,0.96505,0.0006271,0.0006271,0.0006271
115,6818.38,1.78382,1.33503,1.05711,0.76181,0.448,0.54471,0.22174,1.93632,1.37234,0.96505,0.0006238,0.0006238,0.0006238
116,6877.35,1.98533,1.36713,1.06235,0.76117,0.4476,0.55298,0.22994,2.04276,1.33982,0.98749,0.0006205,0.0006205,0.0006205
117,6943.24,2.06585,1.34125,1.05174,0.76117,0.4476,0.55298,0.22994,2.04276,1.33982,0.98749,0.0006172,0.0006172,0.0006172
118,7004.91,1.94187,1.30554,1.04841,0.76117,0.4476,0.55298,0.22994,2.04276,1.33982,0.98749,0.0006139,0.0006139,0.0006139
119,7063.71,1.8034,1.29461,1.04364,0.76219,0.448,0.56544,0.23872,1.99685,1.33394,0.97937,0.0006106,0.0006106,0.0006106
120,7125.88,1.85742,1.1962,0.98442,0.76219,0.448,0.56544,0.23872,1.99685,1.33394,0.97937,0.0006073,0.0006073,0.0006073
121,7185.07,1.90031,1.30533,1.02931,0.76219,0.448,0.56544,0.23872,1.99685,1.33394,0.97937,0.000604,0.000604,0.000604
122,7244.16,1.9265,1.27232,1.00508,0.76219,0.448,0.56544,0.23872,1.99685,1.33394,0.97937,0.0006007,0.0006007,0.0006007
123,7300.31,1.87277,1.34757,1.01378,0.75283,0.442,0.56117,0.24093,1.98933,1.33438,0.9795,0.0005974,0.0005974,0.0005974
124,7359.72,1.84278,1.28266,1.0176,0.75283,0.442,0.56117,0.24093,1.98933,1.33438,0.9795,0.0005941,0.0005941,0.0005941
125,7420.51,1.86545,1.28943,1.02272,0.75283,0.442,0.56117,0.24093,1.98933,1.33438,0.9795,0.0005908,0.0005908,0.0005908
126,7479.9,1.85648,1.29034,1.03191,0.75283,0.442,0.56117,0.24093,1.98933,1.33438,0.9795,0.0005875,0.0005875,0.0005875
127,7535.69,1.75543,1.29231,1.03524,0.74687,0.44022,0.55748,0.22802,2.0997,1.33536,1.00392,0.0005842,0.0005842,0.0005842
128,7592.36,1.91881,1.34943,1.05871,0.74687,0.44022,0.55748,0.22802,2.0997,1.33536,1.00392,0.0005809,0.0005809,0.0005809
129,7652.4,1.67674,9.69915,0.90707,0.74687,0.44022,0.55748,0.22802,2.0997,1.33536,1.00392,0.0005776,0.0005776,0.0005776
130,7709.79,2.01664,1.33647,1.04706,0.71819,0.4244,0.53226,0.20163,2.276,1.33654,1.04758,0.0005743,0.0005743,0.0005743
131,7767.15,1.91246,1.25787,1.0315,0.71819,0.4244,0.53226,0.20163,2.276,1.33654,1.04758,0.000571,0.000571,0.000571
132,7830.72,1.99924,1.2949,1.04394,0.71819,0.4244,0.53226,0.20163,2.276,1.33654,1.04758,0.0005677,0.0005677,0.0005677
133,7888.98,1.94972,1.32832,1.08478,0.71819,0.4244,0.53226,0.20163,2.276,1.33654,1.04758,0.0005644,0.0005644,0.0005644
134,7947.26,1.94819,1.29457,1.05557,0.72514,0.4268,0.53347,0.20526,2.25881,1.30868,1.04227,0.0005611,0.0005611,0.0005611
135,8006.15,1.99832,1.31391,1.01918,0.72514,0.4268,0.53347,0.20526,2.25881,1.30868,1.04227,0.0005578,0.0005578,0.0005578
136,8062.37,1.90122,1.27737,1.05896,0.72514,0.4268,0.53347,0.20526,2.25881,1.30868,1.04227,0.0005545,0.0005545,0.0005545
137,8125.61,2.06111,1.36325,1.05824,0.74683,0.4384,0.54609,0.22304,2.11725,1.28112,1.00579,0.0005512,0.0005512,0.0005512
138,8180.99,1.8,1.31909,1.06185,0.74683,0.4384,0.54609,0.22304,2.11725,1.28112,1.00579,0.0005479,0.0005479,0.0005479
139,8239.85,1.8674,1.25739,1.01611,0.74683,0.4384,0.54609,0.22304,2.11725,1.28112,1.00579,0.0005446,0.0005446,0.0005446
140,8298.64,1.96108,1.36284,1.04184,0.74683,0.4384,0.54609,0.22304,2.11725,1.28112,1.00579,0.0005413,0.0005413,0.0005413
141,8355.3,1.84852,1.25163,1.02158,0.76136,0.4472,0.55331,0.23158,2.00694,1.28597,0.97837,0.000538,0.000538,0.000538
142,8412.66,1.83222,1.24225,1.01378,0.76136,0.4472,0.55331,0.23158,2.00694,1.28597,0.97837,0.0005347,0.0005347,0.0005347
143,8471.61,1.86709,1.20694,1.01999,0.76136,0.4472,0.55331,0.23158,2.00694,1.28597,0.97837,0.0005314,0.0005314,0.0005314
144,8529.29,1.92082,1.33539,1.06627,0.76076,0.4468,0.5527,0.23536,1.97393,1.30841,0.97046,0.0005281,0.0005281,0.0005281
145,8584.67,1.75349,1.22491,1.00655,0.76076,0.4468,0.5527,0.23536,1.97393,1.30841,0.97046,0.0005248,0.0005248,0.0005248
146,8645.33,1.98515,1.20413,0.98632,0.76076,0.4468,0.5527,0.23536,1.97393,1.30841,0.97046,0.0005215,0.0005215,0.0005215
147,8704.66,2.02799,1.27256,1.01743,0.76076,0.4468,0.5527,0.23536,1.97393,1.30841,0.97046,0.0005182,0.0005182,0.0005182
148,8762.94,1.81114,1.22672,0.98821,0.75636,0.4436,0.54934,0.23198,1.94804,1.33652,0.9651,0.0005149,0.0005149,0.0005149
149,8819,1.9658,1.30498,1.02798,0.75636,0.4436,0.54934,0.23198,1.94804,1.33652,0.9651,0.0005116,0.0005116,0.0005116
150,8878.91,2.00334,1.28791,1.00076,0.75636,0.4436,0.54934,0.23198,1.94804,1.33652,0.9651,0.0005083,0.0005083,0.0005083
151,8934.74,1.91508,1.34464,1.07171,0.75641,0.4436,0.54613,0.22947,1.94912,1.35263,0.96565,0.000505,0.000505,0.000505
152,8991.28,1.89704,1.39787,1.07091,0.75641,0.4436,0.54613,0.22947,1.94912,1.35263,0.96565,0.0005017,0.0005017,0.0005017
153,9049.86,1.94553,1.32356,1.03458,0.75641,0.4436,0.54613,0.22947,1.94912,1.35263,0.96565,0.0004984,0.0004984,0.0004984
154,9109.5,1.84166,1.19253,0.9556,0.75641,0.4436,0.54613,0.22947,1.94912,1.35263,0.96565,0.0004951,0.0004951,0.0004951
155,9168.73,1.87641,1.31471,1.01291,0.76679,0.4504,0.56336,0.23541,1.99389,1.35162,0.97567,0.0004918,0.0004918,0.0004918
156,9227.26,1.86784,1.22792,0.99738,0.76679,0.4504,0.56336,0.23541,1.99389,1.35162,0.97567,0.0004885,0.0004885,0.0004885
157,9284.32,1.75616,1.29133,1.00759,0.76679,0.4504,0.56336,0.23541,1.99389,1.35162,0.97567,0.0004852,0.0004852,0.0004852
158,9341.82,1.76969,1.29054,1.02966,0.76679,0.4504,0.56336,0.23541,1.99389,1.35162,0.97567,0.0004819,0.0004819,0.0004819
159,9400.1,1.89915,1.28108,0.97503,0.76236,0.4496,0.56871,0.23843,1.95042,1.35374,0.96705,0.0004786,0.0004786,0.0004786
160,9455.31,1.76455,1.39389,1.06756,0.76236,0.4496,0.56871,0.23843,1.95042,1.35374,0.96705,0.0004753,0.0004753,0.0004753
161,9514.56,1.83978,1.28442,0.99682,0.76236,0.4496,0.56871,0.23843,1.95042,1.35374,0.96705,0.000472,0.000472,0.000472
162,9574.02,1.80653,1.3397,1.04524,0.76389,0.45034,0.57115,0.24136,1.93157,1.34287,0.96487,0.0004687,0.0004687,0.0004687
163,9635.35,1.95655,1.32042,1.01684,0.76389,0.45034,0.57115,0.24136,1.93157,1.34287,0.96487,0.0004654,0.0004654,0.0004654
164,9696.95,1.86529,1.35932,1.03729,0.76389,0.45034,0.57115,0.24136,1.93157,1.34287,0.96487,0.0004621,0.0004621,0.0004621
165,9756.3,1.81514,1.23798,0.98131,0.76389,0.45034,0.57115,0.24136,1.93157,1.34287,0.96487,0.0004588,0.0004588,0.0004588
166,9816.95,1.91162,1.30661,1.008,0.75964,0.4464,0.56407,0.24299,1.8689,1.35173,0.95166,0.0004555,0.0004555,0.0004555
167,9876.89,1.84469,1.27654,0.97216,0.75964,0.4464,0.56407,0.24299,1.8689,1.35173,0.95166,0.0004522,0.0004522,0.0004522
168,9934.57,1.95116,1.41903,1.06224,0.75964,0.4464,0.56407,0.24299,1.8689,1.35173,0.95166,0.0004489,0.0004489,0.0004489
169,9993.2,1.82893,1.26614,1.00102,0.75322,0.4424,0.56001,0.23919,1.863,1.36225,0.94971,0.0004456,0.0004456,0.0004456
170,10050.6,1.82389,1.25231,1.00123,0.75322,0.4424,0.56001,0.23919,1.863,1.36225,0.94971,0.0004423,0.0004423,0.0004423
171,10104.6,1.88504,1.40435,1.02516,0.75322,0.4424,0.56001,0.23919,1.863,1.36225,0.94971,0.000439,0.000439,0.000439
172,10160.4,1.8367,1.4146,1.08384,0.75322,0.4424,0.56001,0.23919,1.863,1.36225,0.94971,0.0004357,0.0004357,0.0004357
173,10220.6,1.87167,1.26924,0.99155,0.76427,0.4492,0.56801,0.24108,1.89753,1.3392,0.95576,0.0004324,0.0004324,0.0004324
174,10275.5,1.85806,1.39931,1.03957,0.76427,0.4492,0.56801,0.24108,1.89753,1.3392,0.95576,0.0004291,0.0004291,0.0004291
175,10331.4,1.75337,1.2379,1.00808,0.76427,0.4492,0.56801,0.24108,1.89753,1.3392,0.95576,0.0004258,0.0004258,0.0004258
176,10387.6,1.78965,1.3185,1.04073,0.7665,0.45,0.56981,0.24369,1.93129,1.3089,0.96167,0.0004225,0.0004225,0.0004225
177,10443.5,1.83055,1.33796,1.04706,0.7665,0.45,0.56981,0.24369,1.93129,1.3089,0.96167,0.0004192,0.0004192,0.0004192
178,10499.2,1.71461,1.30504,1.0154,0.7665,0.45,0.56981,0.24369,1.93129,1.3089,0.96167,0.0004159,0.0004159,0.0004159
179,10556.8,1.896,1.25659,0.99499,0.7665,0.45,0.56981,0.24369,1.93129,1.3089,0.96167,0.0004126,0.0004126,0.0004126
180,10613,1.8864,1.3265,0.9844,0.76281,0.4484,0.55527,0.24002,1.93027,1.30781,0.96014,0.0004093,0.0004093,0.0004093
181,10668.3,1.91447,1.33553,0.99167,0.76281,0.4484,0.55527,0.24002,1.93027,1.30781,0.96014,0.000406,0.000406,0.000406
182,10720.8,1.8937,1.39736,1.04023,0.76281,0.4484,0.55527,0.24002,1.93027,1.30781,0.96014,0.0004027,0.0004027,0.0004027
183,10779.6,1.84075,1.25259,0.99604,0.75064,0.4408,0.53922,0.23099,1.89701,1.32246,0.95358,0.0003994,0.0003994,0.0003994
