epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,5290.82,2.08784,1.10397,0.82467,0.81559,0.49986,0.62282,0.32592,1.90492,1.06369,0.79202,7.9012e-05,7.9012e-05,7.9012e-05
55,5388.02,2.22243,1.15928,0.83556,0.81449,0.49969,0.62269,0.32704,1.89972,1.06296,0.79081,7.8616e-05,7.8616e-05,7.8616e-05
56,5497.79,2.1559,1.11885,0.8106,0.81263,0.49879,0.62117,0.32743,1.88521,1.06454,0.78964,7.822e-05,7.822e-05,7.822e-05
57,5605.52,2.24757,1.18816,0.82794,0.81324,0.49915,0.62139,0.32693,1.88455,1.06382,0.78962,7.7824e-05,7.7824e-05,7.7824e-05
58,5714.15,2.20343,1.13769,0.83337,0.81628,0.50054,0.62264,0.32671,1.89869,1.05982,0.79142,7.7428e-05,7.7428e-05,7.7428e-05
59,5816.07,2.22637,1.17193,0.8332,0.81814,0.50059,0.6238,0.32645,1.90454,1.06021,0.79225,7.7032e-05,7.7032e-05,7.7032e-05
60,5921.43,2.22769,1.13073,0.82882,0.81652,0.50088,0.6228,0.32477,1.903,1.06225,0.79218,7.6636e-05,7.6636e-05,7.6636e-05
61,6026.7,2.18134,1.14672,0.82582,0.81531,0.49873,0.62117,0.32685,1.88271,1.06935,0.79094,7.624e-05,7.624e-05,7.624e-05
62,6130.97,2.24111,1.14795,0.82827,0.81442,0.49583,0.61956,0.32616,1.87658,1.0741,0.79084,7.5844e-05,7.5844e-05,7.5844e-05
63,6232.38,2.28069,1.16598,0.83295,0.81571,0.49698,0.62088,0.32783,1.87392,1.07308,0.79096,7.5448e-05,7.5448e-05,7.5448e-05
64,6331.41,2.16561,1.13423,0.82182,0.82016,0.50065,0.62469,0.32865,1.88634,1.06802,0.79157,7.5052e-05,7.5052e-05,7.5052e-05
65,6426,2.19806,1.126,0.82045,0.82071,0.50234,0.62529,0.32272,1.94922,1.05785,0.79608,7.4656e-05,7.4656e-05,7.4656e-05
66,6522.3,2.26075,1.15451,0.82499,0.82064,0.50121,0.62482,0.3214,1.95503,1.06119,0.79583,7.426e-05,7.426e-05,7.426e-05
67,6620.71,2.15278,1.09879,0.81304,0.81882,0.50042,0.62356,0.32526,1.91195,1.06352,0.79308,7.3864e-05,7.3864e-05,7.3864e-05
68,6711.45,2.19232,1.13508,0.82704,0.81146,0.49449,0.61674,0.32523,1.8835,1.07212,0.7903,7.3468e-05,7.3468e-05,7.3468e-05
69,6802.36,2.16375,1.13143,0.82697,0.80858,0.49397,0.61392,0.32262,1.89027,1.07411,0.79048,7.3072e-05,7.3072e-05,7.3072e-05
70,6901.13,2.2086,1.15804,0.83356,0.81118,0.49551,0.61598,0.32317,1.89467,1.0658,0.79049,7.2676e-05,7.2676e-05,7.2676e-05
